Адрес организации,Номер телефона орагнизации,Номер дополнительного телефона орагнизации,email aдрес,Адрес сайта,Работает ли сайт?,title сайта организации,description сайта организации,keywords сайта организации,Cайт принадлежит организации?,Количество подписчиков Instagramm,Ссылки на соц. сети в Instagramm,Количество подписчиков VK,Ссылки на соц. сети в VK,Количество подписчиков youtube,Ссылки на соц. сети в youtube,id региона,Полное наименование об организации (по уставу),Краткое наименование организации,Дата создания организации,Юридическое лицо / Филиал,Общее количество сотрудников,Субъект РФ,Тип организации,Количество занимающихся детей,Количество занимающихся детей художественной направленностью,Количество занимающихся детей естественно-научной направленностью,Количество занимающихся детей технической направленностью,Количество занимающихся детей социально-педагогической направленностью,Количество занимающихся детей физкультурно-спортивной направленностью,Количество занимающихся детей туристической направленностью,Количество занимающихся детей интеллектуально игровой направленностью,Фактическая наполняемость,Количество педагогов,Количество педагогов художественной направленности,Количество педагогов естественно-научной направленности,Количество педагогов технической направленности,Количество педагогов социально-педагогической направленности,Количество педагогов физкультурно-спортивной направленности,Количество педагогов туристической направленности,Количество педагогов интеллектуально игровой направленности,okfs,okopf,ogrn,inn,Номер бланка лицензии,Кем выдана лицензии,Cрок лицензии,id,Техническое,Естественнонаучная
"обл. Ульяновская, р-н. Инзенский, с. Труслейка, ул. Луговая, дом 101, 433010",88424163190,Неизвестно,shk11inza@mail.ru,https://tsosh.moy.su/,True,МКОУ Труслейская СШ - Новости школы,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,60,Муниципальное бюджетное  общеобразовательное учреждение  Труслейская средняя школа,МБОУ Труслейская СШ,Не известно,Юридическое лицо,25,Ульяновская область,Общеобразовательная организация,187,45,0,45,15,50,32,0,300,9,1,0,2,1,3,2,0,Государственная собственность,Неизвестно,1027300706014,7306002978,3118,Министерство образования и науки,2027-12-01,4477,True,False
"обл. Курганская, р-н. Притобольный, с. Глядянское, ул. Красноармейская, дом 38, 641400",83523999054,Неизвестно,gladanskiddt@mail.ru,https://gladanskiddt.ucoz.ru,True,Глядянский ДДТ - Главная страница,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,37,"муниципальное казённое учреждение дополнительного образования ""Глядянский Дом детского творчества""",Глядянский ДДТ,Не известно,Юридическое лицо,23,Курганская область,Организация дополнительного образования,596,315,0,41,79,87,74,0,596,26,12,0,2,3,4,5,0,Государственная собственность,Неизвестно,1024501817306,4518003505,851,Департамент образования и науки Курганской области,Бессрочная,4023,True,False
"г. Санкт-Петербург, пер. Перевозный, дом 19, кор. 1, 195112",88124172516,Неизвестно,oo-lyceum-533@yandex.ru,http://www.oo-lyceum-533.ru/,True,[Главная] - Государственное бюджетное общеобразовательное учреждение Лицей №533,Государственное бюджетное общеобразовательное учреждение Лицей №533 ,"Лицей №533, лицей 533, школа №533, образование, образовательный комплекс ",True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,10,"Государственное бюджетное общеобразовательное учреждение лицей №533 ""Образовательный центр ""Малая Охта"" Красногвардейского района Санкт-Петербурга",ГБОУ лицей №533 Красногвардейского района Санкт-Петербурга,2003-09-01,Юридическое лицо,90,Санкт-Петербург,Общеобразовательная организация,2281,583,679,400,134,376,109,0,2281,90,22,22,20,5,16,5,0,Государственная собственность,Государственные бюджетные учреждения субъектов Российской Федерации,1027804182560,7806040322,0184,Комитет по образованию Правительства Санкт-Петербурга,Бессрочная,2976,True,True
"обл. Челябинская, г. Озерск, ул. Ермолаева, дом 26, 456784",83513027730,Неизвестно,adm.ut@mail.ru,https://sut-ozersk.ru/,True,"МБУ ДО ""СЮТ""","Официальный сайт Муниципального бюджетного учреждения дополнительного образования ""Станция юных техников"" Озерского городского округа Челябинской области","""Станция юных техников""; Озерск, СЮТ; юный техник; МБУ ДО ""СЮТ""; сют",True,Нет аккаунта,Нет аккаунта,846,{'https://vk.com/club165291662'},Нет аккаунта,Нет аккаунта,61,"Муниципальное бюджетное учреждение дополнительного образования ""Станция юных техников"" г. Озерск","МБУ ДО ""СЮТ"" г. Озерск",1967-09-15,Юридическое лицо,39,Челябинская область,Организация дополнительного образования,1100,205,0,895,0,0,0,0,1100,15,2,0,13,0,0,0,0,Государственная собственность,Муниципальные бюджетные учреждения,1027401185063,7422023150,0002266,Министерство образования и науки Челябинской области,Бессрочная,539,True,False
"обл. Иркутская, г. Братск, жилрайон. Центральный, ул. К.Маркса, дом 11, 665729",83953468960,83953466619,dtdm@mail.ru,http://dtdmbratsk.ru/,True,Дворец творчества детей и молодёжи города Братска,"Братск, дворец творчества","Братск, дворец творчества",True,475,{'https://www.instagram.com/dtdmbratsk/'},133,{'https://vk.com/public152311893'},Нет аккаунта,Нет аккаунта,30,"Муниципальное автономное учреждение дополнительного образования ""Дворец творчества детей и молодежи"" муниципального образования города Братска","МАУ ДО ""ДТДиМ"" МО г. Братска",1965-10-25,Юридическое лицо,61,Иркутская область,Организация дополнительного образования,2265,1018,41,340,626,196,44,0,2265,61,26,2,10,18,4,1,0,Государственная собственность,Неизвестно,1023800846805,3804024208,8760,Служба по контролю и надзору в сфере образования Иркутской области,Бессрочная,4649,True,True
"обл. Челябинская, г. Копейск, ул. Ленина, дом 48, 456618",83513935136,83513974270,dt-kopeysk@yandex.ru,https://dt-kopeysk.ru/,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,61,"Муниципальное учреждение дополнительного образования ""Дворец творчества детей и молодежи"" Копейского городского округа",МУДО ДТДиМ г. Копейск,1944-10-01,Юридическое лицо,114,Челябинская область,Организация дополнительного образования,4037,2778,147,202,349,549,12,0,4037,65,33,3,5,10,13,1,0,Государственная собственность,Неизвестно,1027400778239,7411014186,0002461,Министерство образования и науки Челябинской области,Бессрочная,5278,True,True
"г. Санкт-Петербург, ул. Отечественная, дом 5, лит. А, 195030",88125266566,Неизвестно,mail@school-134.ru,http://school-134.ru/,True,ГБОУ СОШ 134,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,10255,{'https://vk.com/dopedu_spb'},Нет аккаунта,Нет аккаунта,10,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №134 Красногвардейского района Санкт-Петербурга имени Сергея Дудко,ГБОУ средняя общеобразовательная школа № 134 Красногвардейского района Санкт-Петербурга имени Сергея Дудко,1938-09-01,Юридическое лицо,80,Санкт-Петербург,Общеобразовательная организация,480,225,0,45,45,165,0,0,683,18,9,0,3,2,4,0,0,Государственная собственность,Федеральные государственные бюджетные учреждения,1037816004335,7806029689,2717,Правительство Санкт-Петербурга комитет по образованию,Бессрочная,3059,True,False
"г. Санкт-Петербург, г. Красное Село, ул. Освобождения, дом 29, кор. 3, лит. А, 198320",88125739760,88125739761,spb270@mail.ru,http://sh270.krsl.gov.spb.ru/,True,Официальный сайт школы №270 - Главная страница,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,10,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 270 Красносельского района Санкт-Петербурга имени А.Е. Березанского,ГБОУ СОШ №270 Красносельского района Санкт-Петербурга имени А.Е. Березанского,1947-09-01,Юридическое лицо,Неизвестно,Санкт-Петербург,Общеобразовательная организация,785,311,0,30,144,300,0,0,Не известно,25,11,0,1,5,8,0,0,Государственная собственность,Государственные бюджетные учреждения субъектов Российской Федерации,1027804603420,7807022799,78Л02 №0001018,Правительство Санкт-Петербурга Комитет по образованию,Бессрочная,2314,True,False
"г. Санкт-Петербург, пр-кт. Большевиков, дом 23, лит. Ч, 193232",88125854281,Неизвестно,sc20@mail.ru,http://school20spb.ru,True,Главная - Школа №20,Сайт школы №20,"уроки,школа,обучение,образование,учиться",True,Нет аккаунта,Нет аккаунта,6495,"{'https://vk.com/rekon_fest', 'https://vk.com/nevnews?w=wall-82032767_13054', 'https://vk.com/leningradpartizan', 'https://vk.com/sc20spb', 'https://vk.com/laboratoriadehistoria', 'https://vk.com/club52102188'}",Нет аккаунта,Нет аккаунта,10,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №20 Невского района Санкт-Петербурга,ГБОУ СОШ №20 Невского района Санкт-Петербурга,1970-09-01,Юридическое лицо,Неизвестно,Санкт-Петербург,Общеобразовательная организация,636,141,0,84,96,0,0,0,Не известно,42,10,0,6,6,0,0,0,Государственная собственность,Государственные бюджетные учреждения субъектов Российской Федерации,1027806069543,7811022671,78 №001280,Правительство Санкт-Петербурга Комитет по образованию,Бессрочная,3716,True,False
"обл. Ярославская, г. Ярославль, ул. Советская, дом 17, 150000",84852305111,Неизвестно,young-yar@yandex.ru,https://www.gcvr.edu.yar.ru,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,63,"Муниципальное образовательное учреждение дополнительного образования ""Ярославский городской Дворец пионеров""",МОУ ДО Дворец пионеров г. Ярославль,1941-04-30,Юридическое лицо,Неизвестно,Ярославская область,Организация дополнительного образования,2442,1351,0,95,745,251,0,0,2442,88,43,0,7,31,7,0,0,Государственная собственность,Неизвестно,1027600683637,7604045381,76П1 №0003544,Департамент образования Ярославской области,Бессрочная,1552,True,False
"г. Санкт-Петербург, ул. Верности, дом 38, кор. 1, лит. А, 195273",88124173466,Неизвестно,s.184@mail.ru,https://184.education,True,Официальный сайт средней школы №184 г. Санкт-Петербурга,Отсутсвует,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,10,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №184 Калининского района Санкт-Петербурга,ГБОУ СОШ №184 Калининского района Санкт-Петербурга,1967-09-01,Юридическое лицо,93,Санкт-Петербург,Общеобразовательная организация,1028,444,0,75,181,217,111,0,1028,26,9,0,2,6,6,3,0,Государственная собственность,Государственные бюджетные учреждения субъектов Российской Федерации,1027802499295,7804139566,78Л01 №0000494,Правительство Санкт-Петербурга Комитет по образованию,Бессрочная,4751,True,False
"край. Алтайский, р-н. Залесовский, с. Залесово, ул. Комсомольская, 659220",83859222341,Неизвестно,ddt_zalesovo@mail.ru,Неизвестно,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,15,"Залесовское муниципальное казённое учреждение дополнительного образования ""Дом детского творчества"" с. Залесово","ЗМКУДО ""Дом детского творчества"", с. Залесово",Не известно,Юридическое лицо,7,Алтайский край,Организация дополнительного образования,202,115,14,0,49,0,0,24,433,7,3,1,0,2,0,0,1,Неизвестно,Неизвестно,1022202102780,2242003163,0000278,Главное управление образования и науки Алтайского края,Бессрочная,5190,False,True
"обл. Томская, г. Томск, ул. Карла Маркса, дом 31, 634009",73822514625,73822511746,mo56@mail.tomsknet.ru,http://gavan.dou.tomsk.ru,True,"

Дом детства и юношества ""Наша гавань""	
",Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,57,"Муниципальное бюджетное образовательное учреждение дополнительного образования Дом детства и юношества ""Наша гавань"" г.Томска","МБОУ ДО ДДиЮ ""Наша гавань""",Не известно,Юридическое лицо,50,Томская область,Организация дополнительного образования,1354,687,48,85,284,85,165,0,Не известно,28,12,1,2,3,4,6,0,Государственная собственность,Муниципальные бюджетные учреждения,1027000917514,7019037720,1699,"Комитетом по контролю, надзору и лицензированию в сфере образования Томской области",Бессрочная,2352,True,True
"обл. Челябинская, р-н. Кизильский, с. Кизильское, ул. Ленинская, дом 76, 457610",83515530341,Неизвестно,kizil.dsh@yandex.ru,https://нет,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,61,"Муниципальное учреждение дополнительного образования ""Кизильский Дом школьника""","МУДО ""Кизильский ДШ""",1936-03-06,Юридическое лицо,26,Челябинская область,Организация дополнительного образования,566,345,0,133,0,69,19,0,566,29,14,0,11,0,3,1,0,Государственная собственность,Неизвестно,1027401655600,7431004210,0001127,Министерство образования и науки Челябинской области,Бессрочная,5194,True,False
Неизвестно,83533021335,Неизвестно,dpish@bk.ru,http://dpish.ucoz.com,True,Центр дополнительного образования Октябрьского района - Главная страница,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,480,"{'https://vk.com/club186730086', 'https://vk.com/oktnews?w=wall-134305928_1647', 'https://vk.com/club198704540', 'https://vk.com/club194723005', 'https://vk.com/oktybrskii_otr?w=wall-117254852_6707', 'https://vk.com/club171172349', 'https://vk.com/club198703691', 'https://vk.com/club198702406', 'https://vk.com/club129226529', 'https://vk.com/feed?section=search&q=%231%D0%B8%D1%8E%D0%BD%D1%8F', 'https://vk.com/feed?section=search&q=%23%D0%9D%D0%B5%D0%B4%D0%B5%D0%BB%D1%8F%D0%91%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8', 'https://vk.com/club198727154', 'https://vk.com/video-116216597_456239034', 'https://vk.com/wall-116216597_208', 'https://vk.com/club198526405?w=address-198526405', 'https://vk.com/club198704178', 'https://vk.com/club198526267', 'https://vk.com/club198701920', 'https://vk.com/feed?section=search&q=%23%D0%94%D0%B5%D0%BD%D1%8C%D0%B7%D0%B0%D1%89%D0%B8%D1%82%D1%8B%D0%B4%D0%B5%D1%82%D0%B5%D0%B9', 'https://vk.com/club198526221', 'https://vk.com/club198703071', 'https://vk.com/public198702116', 'https://vk.com/club116216597', 'https://vk.com/club103891136', 'https://vk.com/club198727236', 'https://vk.com/feed?section=search&q=%23%D0%9D%D0%B5%D0%B4%D0%B5%D0%BB%D0%B8%D0%91%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8', 'https://vk.com/club198703422', 'https://vk.com/club198712149', 'https://vk.com/invite/yoG8b4g', 'https://vk.com/club199054186?w=wall-199054186_4%2Fall', 'https://vk.com/wall-116216597_174', 'https://vk.com/feed?section=search&q=%23%D0%9E%D0%A0%D0%94%D0%9E%D0%9E%D0%A1%D0%9E%D0%94%D0%A0%D0%A3%D0%96%D0%95%D0%A1%D0%A2%D0%92%D0%9E', 'https://vk.com/club198702259', 'https://vk.com/club198737818', 'https://vk.com/public97521364', 'https://vk.com/public198500756'}",Нет аккаунта,Нет аккаунта,91,"Муниципальное бюджетное учреждение дополнительного образования ""Центр дополнительного образования Октябрьского района""",МБУДО ЦДО Октябрьского района,1955-10-25,Юридическое лицо,118,Оренбургская область,Организация дополнительного образования,2496,708,312,216,1056,0,204,0,2496,169,44,22,17,71,0,15,0,Государственная собственность,Муниципальные бюджетные учреждения,1025603269108,5637004500,56Л01 № 0004999,Министерство образования Оренбургской области,Бессрочная,7467,True,True
"обл. Челябинская, р-н. Каслинский, рп. Вишневогорск, ул. Советская, дом 71, 456826",8351493631,Неизвестно,valya.mokerowa@yandex.ru,Неизвестно,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,61,"Муниципальное учреждение дополнительного образования""Центр детского творчества""поселка Вишневогорск Каслинского муниципального райна","МУ ДО ""ЦДТ""п.Вишневогорск",1980-09-01,Юридическое лицо,8,Челябинская область,Организация дополнительного образования,310,212,0,46,52,0,0,0,Не известно,9,4,0,1,4,0,0,0,Государственная собственность,Неизвестно,1027400730565,7409006131,0002477,Министерство образования и науки Челябинской области,Бессрочная,5277,True,False
"обл. Оренбургская, р-н. Асекеевский, с. Асекеево, ул. Комсомольская, дом 27, 461710",83535121959,Неизвестно,cdt-kom27@mail.ru,http://cdt-asekeevo.ucoz.ru/,True,Асекеевский центр детского творчества - Главная страница,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,91,"Муниципальное бюджетное учреждение дополнительного образования ""Центр внешкольной деятельности""",МБУДО ЦВД с. Асекеево,1969-01-01,Юридическое лицо,26,Оренбургская область,Организация дополнительного образования,947,216,90,48,484,0,109,0,947,26,5,3,3,12,0,3,0,Государственная собственность,Муниципальные бюджетные учреждения,1025602372498,5622003599,56Л01 00044962,Министерство образования Оренбургской области,Бессрочная,5478,True,True
"обл. Новосибирская, г. Новосибирск, ул. 25 лет Октября, дом 16, 630110",83832717446,Неизвестно,sodruzhestvo@ngs.ru,http://www.sodruzhestvonsk.edusite.ru,True,Главная,Не найдено,Не найдено,True,105,{'https://www.instagram.com/cdt.sodruzhestvo/'},Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,89,"муниципальное бюджетное учреждение дополнительного образования города Новосибирска ""Центр детского творчества ""Содружество""","МБУДО ЦДТ ""Содружество"" г. Новосибирск",1984-09-24,Юридическое лицо,123,Новосибирская область,Организация дополнительного образования,5521,3549,268,216,1116,222,150,0,5521,72,40,8,5,13,4,2,0,Государственная собственность,Неизвестно,1025403914140,5410124344,0002506,"Министерство образования, науки и инновационной политики Новосибирской области",Бессрочная,560,True,True
